stockId,tradingVolume,highestPrice,lowestPrice,openingPrice,closingPrice,timestamp
000007,60056,6.26,6.1,6.25,6.23,2022-01-04
000007,99213,6.5,6.14,6.25,6.5,2022-01-05
000007,112920,6.82,6.5,6.62,6.8,2022-01-06
000007,101808,6.88,6.58,6.8,6.76,2022-01-07
000007,33776,6.76,6.42,6.76,6.42,2022-01-10
000007,155280,6.41,6.1,6.1,6.38,2022-01-11
000007,50438,6.66,6.3,6.38,6.63,2022-01-12
000007,55417,6.64,6.45,6.63,6.56,2022-01-13
000007,53642,6.64,6.4,6.56,6.54,2022-01-14
000007,92892,6.76,6.54,6.6,6.72,2022-01-17
000007,83619,6.96,6.73,6.75,6.93,2022-01-18
000007,102916,7.05,6.58,6.95,6.58,2022-01-19
000007,76092,6.89,6.64,6.89,6.78,2022-01-20
000007,66435,6.88,6.69,6.79,6.84,2022-01-21
000007,90158,7.18,6.78,7.18,6.92,2022-01-24
000007,51228,6.95,6.7,6.93,6.82,2022-01-25
000007,71506,6.88,6.48,6.88,6.48,2022-01-26
000007,70719,6.57,6.16,6.51,6.16,2022-01-27
000007,48396,6.46,6.02,6.29,6.37,2022-01-28
000007,42742,6.58,6.37,6.5,6.46,2022-02-07
000007,42798,6.68,6.48,6.53,6.57,2022-02-08
000007,30270,6.7,6.52,6.66,6.63,2022-02-09
000007,22493,6.77,6.6,6.7,6.69,2022-02-10
000007,52312,6.79,6.36,6.71,6.36,2022-02-11
000007,37282,6.47,6.28,6.47,6.37,2022-02-14
000007,48294,6.62,6.35,6.42,6.55,2022-02-15
000007,40214,6.8,6.55,6.58,6.62,2022-02-16
000007,39815,6.69,6.51,6.63,6.59,2022-02-17
000007,56065,6.63,6.45,6.6,6.63,2022-02-18
000007,48374,6.69,6.51,6.63,6.65,2022-02-21
000007,30715,6.75,6.52,6.68,6.59,2022-02-22
000007,23930,6.64,6.49,6.64,6.62,2022-02-23
000007,56785,6.74,6.44,6.6,6.59,2022-02-24
000007,28054,6.62,6.54,6.62,6.59,2022-02-25
000007,50293,6.62,6.26,6.59,6.26,2022-02-28
000007,91662,6.38,5.95,6.33,6.35,2022-03-01
000007,57249,6.66,6.35,6.47,6.6,2022-03-02
000007,45211,6.69,6.5,6.65,6.59,2022-03-03
000007,42820,6.6,6.46,6.6,6.56,2022-03-04
000007,52461,6.54,6.35,6.54,6.42,2022-03-07
000007,47751,6.43,6.1,6.43,6.2,2022-03-08
000007,83020,6.41,5.99,6.23,6.35,2022-03-09
000007,37504,6.45,6.3,6.35,6.39,2022-03-10
000007,99240,6.4,6.07,6.4,6.07,2022-03-11
000007,118486,6.11,5.77,6.11,5.96,2022-03-14
